"state","old_population","white_population","car_commute","local_workers","bachelor_degree","renter_occupied","median_income","health_insurance","below_poverty","internet_household","fips_code"
"New Hampshire",1.3021662688797,91.0282580574635,44.8267895858764,35.0358372656549,16.784593801811,28.3717978604916,83449,98.8320731685099,7.17321041412356,90.3692520601371,"33"
"New Jersey",1.05986295898733,62.679856582569,36.4238494506837,27.6353407788414,17.4519256176939,36.177555578843,89703,98.8662905792751,9.57216485467224,89.5655071477436,"34"
"New Mexico",1.12370257224209,64.6942256583258,36.795748106303,35.5067826067169,10.6922174719797,31.8158566492309,54020,98.2863571329015,17.9625536772661,80.4200372118215,"35"
"New York",1.09358582472708,60.7271829695082,27.0391943820317,31.2839262938705,14.8960675365261,45.6101671281449,75157,98.8230623853298,13.1089059294562,87.1253826285001,"36"
"North Carolina",1.07260310627295,66.2244953275878,40.1079596435698,33.5867812376592,14.2938637537376,34.0588011353553,60516,98.0832972091696,13.3082769574522,85.6174362106177,"37"
"North Dakota",1.14813071543841,84.9019323871395,46.5010396408325,44.5140842884926,14.4855329581661,37.03047304939,68131,97.8366677700997,10.3951152397898,84.4481932887263,"38"
"Ohio",1.20247175788661,79.6482525841503,41.1638037054278,33.2605744319653,12.6000909266781,33.4070722468171,61938,98.5723780860758,12.9904248311565,86.5240575571589,"39"
"Oklahoma",1.0398324677772,69.7177858108231,40.5380918995698,33.4292435721566,11.5815665924375,33.9442690448896,56956,98.0009807159632,14.7880670777298,84.1705522027199,"40"
"Oregon",1.27586740467539,80.6915896336189,36.6867141553588,37.2099628800975,15.3265004063295,36.845142998786,70084,99.0533794988896,11.8492043477134,89.7991123526996,"41"
"Pennsylvania",1.23518096625844,78.2825224641787,38.3555411640897,34.2413757213401,13.9826994021117,30.8262022699869,67587,98.4630762529249,11.4320485095196,86.1228610452305,"42"
"Puerto Rico",1.17631461485821,51.1480173492136,28.0353724880514,14.8565174612551,14.189583827856,31.9718580536268,21967,99.2311720503951,42.3099085125544,69.290184577077,"72"
"Rhode Island",1.17102538671678,77.0348248865103,42.3744149223086,31.7047774209235,14.700594991158,37.7061126745382,74489,98.5274037523731,10.8299013964938,88.38786322343,"44"
"South Carolina",1.14107318056675,65.6630181753816,40.3973850258609,32.1669069088344,12.8765601548208,29.6709195844867,58234,98.1423350672379,14.1437038667602,83.4167068481978,"45"
"South Dakota",1.40691892014493,82.6194593920287,43.8644340740657,39.6778126187222,13.5328906706283,31.5525234325971,63920,98.1025987060338,12.054072137766,85.4745372043993,"46"
"Tennessee",1.11251597602565,75.7811542158266,40.9481628171862,33.0101317924623,12.5265015787601,33.0801552542019,58516,98.4994526566598,13.9358468995613,83.9731145894744,"47"
"Texas",0.902400239257882,64.3255951364848,40.4271953364115,36.124918973809,13.1369575021721,37.583278064477,67321,98.4349355312333,13.7379155384614,87.0850965897122,"48"
"Utah",0.812936927680829,83.6970387173242,40.1020310270876,40.1342155184953,13.9554739940025,29.4661350881487,79133,99.1894459625484,8.61820218668862,91.0628442288548,"49"
"Vermont",1.34110096518748,92.9313615019084,41.4742291981292,39.7938398190877,17.1436497583525,27.9459381213954,67674,99.0564758578449,10.1244161418372,85.2205977585957,"50"
"Virginia",1.05779460689621,64.949847241106,40.3882840843537,26.0282722509429,15.5995837566279,33.3554459127334,80615,97.3842639172202,9.65529889441034,87.819806386154,"51"
"Washington",1.10785043224927,71.7441230325871,37.0763035611794,39.6437665313093,15.9842039844755,36.391605138205,82400,98.4964746334821,9.80528172212855,91.544937123125,"53"
"West Virginia",1.38363809091257,92.0799489630765,35.9811976242734,26.7389726764791,9.21546276642112,26.0640301847749,50884,98.4736672905623,16.414434032611,81.1235506472183,"54"
"Wisconsin",1.20507638298601,83.3498221372113,43.3994230933972,36.7096806167795,14.1981970689384,32.5634165453003,67080,98.8294283338224,10.3996467098492,86.8578301936283,"55"
"Wyoming",1.23820539989352,88.6477028168306,42.476514850661,45.0694626292615,12.1061457648693,28.30832462617,68002,98.3355328531964,10.4886749294622,87.4955019011242,"56"
